avg_per_token_ms,device,dtype,e2e_ms,file,first_attention_projection_ms,first_attention_qkv_ms,first_attention_softmax_ms,first_attention_total_ms,first_decoder_layer_total_ms,first_embedding_lookup_ms,first_framework_overhead_ms,first_is_first_token,first_kv_cache_rw_estimated_ms,first_layernorm_total_ms,first_lm_head_ms,first_mlp_projection_ms,first_mlp_total_ms,first_residual_ms,first_sampling_decoding_ms,first_token_index,first_total_token_ms,generated_tokens,kv_cache_bytes_per_token,kv_cache_measurement_note,model_name,prompt_tokens,result_schema_version,steady_attention_projection_ms,steady_attention_qkv_ms,steady_attention_softmax_ms,steady_attention_total_ms,steady_decoder_layer_total_ms,steady_embedding_lookup_ms,steady_framework_overhead_ms,steady_is_first_token,steady_kv_cache_rw_estimated_ms,steady_layernorm_total_ms,steady_lm_head_ms,steady_mlp_projection_ms,steady_mlp_total_ms,steady_residual_ms,steady_sampling_decoding_ms,steady_token_index,steady_total_token_ms,timing_method,trial_index,ttft_ms
79.98841504687849,mps,float32,2001.6893370747566,single_benchmark_kv_on_20260416_235003.json,11.634457111358643,20.358498692512512,21.698627173900604,53.69158297777176,153.9137898683548,0.1935420036315918,2.8747744501965826,1.0,0.04881066666666666,11.822702825069427,4.730415999889374,71.79949420690536,81.1891240477562,7.210380017757416,0.1944580078125,1.0,161.9557909965515,24,45056,KV-cache transfer time is estimated analytically from bytes moved and an effective bandwidth value; it is not directly isolated by a hardware profiler.,TinyLlama/TinyLlama-1.1B-Chat-v1.0,129,2.0,5.046498044677403,11.854153739369433,13.767061961733777,30.667713745780613,75.61988788843155,0.18861234447230463,2.681498854030355,0.0,0.05331626666666667,8.677344161531199,1.223353209702865,22.577857095262278,29.729450588640958,6.545379392478777,0.22174648357474286,13.0,79.98841504687849,forward hooks + synchronized wall-clock timing,1,161.9557909965515
89.37444739756377,mps,float32,2262.8765401244164,single_benchmark_kv_on_20260416_235003.json,16.17983305454254,26.76224994659424,26.500206172466278,69.44228917360306,196.32858407497406,0.2350829839706421,3.516230279340107,1.0,0.04881066666666666,13.424373090267181,6.895749986171722,94.57429301738739,105.01729291677475,8.444628894329071,0.23979198932647705,1.0,207.26424998044968,24,45056,KV-cache transfer time is estimated analytically from bytes moved and an effective bandwidth value; it is not directly isolated by a hardware profiler.,TinyLlama/TinyLlama-1.1B-Chat-v1.0,129,2.0,5.145364051279814,11.73832806556121,19.66541863006094,36.54911074690197,83.64657776511234,0.199134041433749,3.8567165447055096,0.0,0.05331626666666667,9.531402385753134,1.3831195623978325,24.266565848951753,31.324271310930666,6.241793321526569,0.2355832172476727,13.0,89.37444739756377,forward hooks + synchronized wall-clock timing,2,207.26424998044968
119.22799274454947,mps,float32,3296.804833114147,single_benchmark_kv_on_20260416_235003.json,38.95725202560425,65.5964213013649,71.73853653669357,176.29220986366272,515.0900420546532,0.3134160041809082,6.889898234738666,1.0,0.04881066666666666,32.53296089172363,31.64112502336502,278.7873328924179,295.65062189102173,10.614249408245087,0.5777080059051514,1.0,554.5609999895096,24,45056,KV-cache transfer time is estimated analytically from bytes moved and an effective bandwidth value; it is not directly isolated by a hardware profiler.,TinyLlama/TinyLlama-1.1B-Chat-v1.0,129,2.0,8.589794257412786,16.125602657380313,22.476236379664876,47.19163329445797,111.99873866983081,0.23855077702066171,5.104379811986253,0.0,0.05331626666666667,11.361806592215663,1.5691484757091687,36.55508533768032,45.079500765904136,8.365798017253047,0.2638587433358897,13.0,119.22799274454947,forward hooks + synchronized wall-clock timing,3,554.5609999895096
106.14068474458611,mps,float16,2947.616833150387,single_benchmark_kv_on_20260416_234825.json,32.889126002788544,62.68907672166824,67.8028833270073,163.38108605146408,446.5571730732918,0.19737499952316284,4.089039772778278,1.0,0.2465792,28.064038038253784,55.02449995279312,232.58387207984924,245.3267103433609,9.785338640213013,0.2664170265197754,1.0,506.38108402490616,24,114688,KV-cache transfer time is estimated analytically from bytes moved and an effective bandwidth value; it is not directly isolated by a hardware profiler.,meta-llama/Llama-3.2-3B-Instruct,257,2.0,6.113289190375286,14.672016125658285,23.63846792086311,44.42377323689668,99.35564137282579,0.1786123073619345,2.818152933560082,0.0,0.258048,11.735361392083375,3.297875085602636,28.15143460812776,35.96664546624474,7.229861277600993,0.23235504523567532,13.0,106.14068474458611,forward hooks + synchronized wall-clock timing,1,506.38108402490616
106.24299266545668,mps,float16,2940.148206293583,single_benchmark_kv_on_20260416_234825.json,32.61845391988754,62.00879377126694,66.35821133852005,160.98545902967453,438.62345999479294,0.22562503814697266,3.7821697891051826,1.0,0.2465792,26.18533319234848,53.42324995994568,231.23325085639954,242.6220829486847,8.830584824085236,0.25829100608825684,1.0,496.55937498807907,24,114688,KV-cache transfer time is estimated analytically from bytes moved and an effective bandwidth value; it is not directly isolated by a hardware profiler.,meta-llama/Llama-3.2-3B-Instruct,257,2.0,6.087732213994731,14.533652709878009,23.36245904798093,43.98384397185367,99.2226382623548,0.1789690955825474,2.711232289567036,0.0,0.258048,11.978087902069092,3.3274401840956314,28.2027592425761,36.03891117158143,7.221795216850612,0.5446648338566655,13.0,106.24299266545668,forward hooks + synchronized wall-clock timing,2,496.55937498807907
104.13707061435865,mps,float16,2903.1038321256638,single_benchmark_kv_on_20260416_234825.json,33.119414031505585,63.309041917324066,72.25092005729675,168.6793760061264,449.6226210594177,0.1841670274734497,4.005424708157307,1.0,0.2465792,26.193336009979248,53.62383300065994,232.1645410656929,244.86325007677078,9.88665896654129,0.2685829997062683,1.0,507.95120799541473,24,114688,KV-cache transfer time is estimated analytically from bytes moved and an effective bandwidth value; it is not directly isolated by a hardware profiler.,meta-llama/Llama-3.2-3B-Instruct,257,2.0,6.081817865371704,14.978538699772047,21.104517936706543,42.16487450185029,98.03192393416944,0.1843261744665063,2.1881457676305365,0.0,0.258048,11.973944664001465,3.2489656106285425,28.19216258370358,36.3351951137833,7.557909654534382,0.225661127463631,13.0,104.13707061435865,forward hooks + synchronized wall-clock timing,3,507.95120799541473
99.59963035324346,mps,float16,2534.838665127754,single_benchmark_kv_on_20260416_234720.json,13.38849824666977,28.628749907016754,19.717709958553314,61.73495811223984,207.813579082489,0.6685420274734497,3.816092435018163,1.0,0.06307839999999999,17.211126804351807,31.44095802307129,112.3644187450409,121.42024791240692,7.447246253490448,0.24491703510284424,1.0,244.04716700315475,24,114688,KV-cache transfer time is estimated analytically from bytes moved and an effective bandwidth value; it is not directly isolated by a hardware profiler.,meta-llama/Llama-3.2-3B-Instruct,65,2.0,5.952007576175358,14.863665376020515,16.727732603964597,37.54340555616047,92.7631215142167,0.18256161005600638,3.109807677990225,0.0,0.0745472,11.889233547708262,3.2448459993238035,28.004333827806555,35.96890194001405,7.361580470333928,0.22474635165670645,13.0,99.59963035324346,forward hooks + synchronized wall-clock timing,1,244.04716700315475
99.00135317833528,mps,float16,2525.534456074238,single_benchmark_kv_on_20260416_234720.json,13.694876909255981,28.79620772600174,19.649581491947174,62.140666127204895,213.84058713912964,0.1998329758644104,2.8526264463821462,1.0,0.06307839999999999,16.56604093313217,31.318583011627197,115.36888110637665,126.38370782136917,8.7501722574234,0.22862499952316284,1.0,248.50333297252655,24,114688,KV-cache transfer time is estimated analytically from bytes moved and an effective bandwidth value; it is not directly isolated by a hardware profiler.,meta-llama/Llama-3.2-3B-Instruct,65,2.0,5.975166701752206,14.995835594508959,16.598068581975024,37.56907087823619,93.15963903717373,0.17464303192885025,2.1628971230421645,0.0,0.0745472,11.90362496997999,3.2154855676319287,28.03659575659296,36.17705043502476,7.509892753932787,0.21414121855860171,13.0,99.00135317833528,forward hooks + synchronized wall-clock timing,2,248.50333297252655
98.89713039864664,mps,float16,2527.9145411252975,single_benchmark_kv_on_20260416_234720.json,13.50882887840271,28.61112743616104,24.12454378604889,66.24450010061264,217.3376266360283,0.22437500953674316,4.005211952821355,1.0,0.06307839999999999,17.03720271587372,31.408999979496002,115.03808373212814,125.82088029384613,8.2350435256958,0.24124997854232788,1.0,253.2805419564247,24,114688,KV-cache transfer time is estimated analytically from bytes moved and an effective bandwidth value; it is not directly isolated by a hardware profiler.,meta-llama/Llama-3.2-3B-Instruct,65,2.0,5.911677614502285,14.738241042779839,17.265704836534418,37.91562349381654,92.80978850955549,0.17313030232553897,2.3574904696793926,0.0,0.0745472,11.71376959655596,3.2736340372458748,27.931209489055302,35.85384826297345,7.326547156209531,0.20853987984035327,13.0,98.89713039864664,forward hooks + synchronized wall-clock timing,3,253.2805419564247
66.84040592027748,mps,float16,1644.4601691365242,single_benchmark_kv_on_20260416_234845.json,5.398165047168732,13.290169060230255,13.337580978870392,32.02591508626938,84.88470613956451,0.1622079610824585,2.861076959893296,1.0,0.0063829333333333335,12.217463850975037,18.92504197359085,28.875665068626404,35.06391614675522,5.57741105556488,0.2914170026779175,1.0,107.13083297014236,24,22528,KV-cache transfer time is estimated analytically from bytes moved and an effective bandwidth value; it is not directly isolated by a hardware profiler.,TinyLlama/TinyLlama-1.1B-Chat-v1.0,33,2.0,3.668449077917182,9.029734126899553,15.146684690662052,27.84486789547879,63.07196550524753,0.170208347880322,2.70208731952079,0.0,0.008635733333333333,9.306018168511597,0.6913621788439543,14.665668412395146,20.525535959264506,5.395543481992639,0.19614683545154074,13.0,66.84040592027748,forward hooks + synchronized wall-clock timing,1,107.13083297014236
